,reading_id,prcp_bool,station,name,latitude,longitude,elevation,date,prcp,tobs
55,55,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-03-04,0.12,70
56,56,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-03-05,0.08,71
57,57,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-03-06,0.03,72
58,58,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-03-07,0.0,72
59,59,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-03-08,0.43,69
60,60,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-03-09,0.06,70
61,61,False,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-03-11,-10.0,73
62,62,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-03-12,0.0,72
63,63,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-03-13,0.0,73
64,64,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-03-14,0.0,70
65,65,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-03-15,0.06,71
66,66,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-03-17,0.0,68
67,67,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-03-18,0.0,70
68,68,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-03-21,0.0,72
69,69,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-03-22,0.0,69
70,70,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-03-23,0.0,68
71,71,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-03-24,0.0,74
72,72,False,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-03-26,-10.0,72
73,73,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-03-27,0.0,72
74,74,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-03-28,0.0,73
75,75,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-03-29,0.0,74
76,76,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-03-30,0.0,73
77,77,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-03-31,0.0,73
78,78,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-04-01,0.0,74
79,79,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-04-02,0.01,74
80,80,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-04-03,0.17,74
81,81,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-04-04,0.15,71
82,82,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-04-05,0.27,72
83,83,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-04-06,0.01,75
84,84,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-04-08,0.0,75
85,85,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-04-09,0.01,75
86,86,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-04-10,0.0,75
87,87,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-04-11,0.01,73
88,88,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-04-12,0.01,73
89,89,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-04-13,0.0,71
90,90,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-04-15,0.0,71
91,91,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-04-16,0.01,68
92,92,True,USC00519397,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0,2010-04-17,0.0,70
